Model,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std
LightGBM,0.8,0.7894736842105263,0.8333333333333334,0.8108108108108109,0.856084656084656,0.05536879669736585
Random Forest,0.7142857142857143,0.6818181818181818,0.8333333333333334,0.75,0.9137566137566138,0.053321154232144445
Gradient Boosting,0.6571428571428571,0.6875,0.6111111111111112,0.6470588235294118,0.812962962962963,0.034822292180410115
SVM,0.5428571428571428,0.5294117647058824,1.0,0.6923076923076923,0.5613756613756614,0.022332179460746324
Logistic Regression,0.6571428571428571,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8267195767195767,0.07490557496681884
